t1,t1_bfc,t2, t2_bfc, t1ce, t1ce_bfc, flair, flair_bfc, gt
/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYA_1/BraTS19_CBICA_AYA_1_t1.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYA_1/BraTS19_CBICA_AYA_1_t1_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYA_1/BraTS19_CBICA_AYA_1_t2.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYA_1/BraTS19_CBICA_AYA_1_t2_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYA_1/BraTS19_CBICA_AYA_1_t1ce.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYA_1/BraTS19_CBICA_AYA_1_t1ce_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYA_1/BraTS19_CBICA_AYA_1_flair.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYA_1/BraTS19_CBICA_AYA_1_flair_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYA_1/BraTS19_CBICA_AYA_1_seg.nii.gz
/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYI_1/BraTS19_CBICA_AYI_1_t1.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYI_1/BraTS19_CBICA_AYI_1_t1_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYI_1/BraTS19_CBICA_AYI_1_t2.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYI_1/BraTS19_CBICA_AYI_1_t2_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYI_1/BraTS19_CBICA_AYI_1_t1ce.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYI_1/BraTS19_CBICA_AYI_1_t1ce_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYI_1/BraTS19_CBICA_AYI_1_flair.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYI_1/BraTS19_CBICA_AYI_1_flair_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AYI_1/BraTS19_CBICA_AYI_1_seg.nii.gz
/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_109_1/BraTS19_TCIA10_109_1_t1.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_109_1/BraTS19_TCIA10_109_1_t1_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_109_1/BraTS19_TCIA10_109_1_t2.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_109_1/BraTS19_TCIA10_109_1_t2_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_109_1/BraTS19_TCIA10_109_1_t1ce.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_109_1/BraTS19_TCIA10_109_1_t1ce_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_109_1/BraTS19_TCIA10_109_1_flair.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_109_1/BraTS19_TCIA10_109_1_flair_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_109_1/BraTS19_TCIA10_109_1_seg.nii.gz
/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_130_1/BraTS19_TCIA10_130_1_t1.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_130_1/BraTS19_TCIA10_130_1_t1_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_130_1/BraTS19_TCIA10_130_1_t2.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_130_1/BraTS19_TCIA10_130_1_t2_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_130_1/BraTS19_TCIA10_130_1_t1ce.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_130_1/BraTS19_TCIA10_130_1_t1ce_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_130_1/BraTS19_TCIA10_130_1_flair.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_130_1/BraTS19_TCIA10_130_1_flair_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_130_1/BraTS19_TCIA10_130_1_seg.nii.gz
/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATV_1/BraTS19_CBICA_ATV_1_t1.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATV_1/BraTS19_CBICA_ATV_1_t1_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATV_1/BraTS19_CBICA_ATV_1_t2.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATV_1/BraTS19_CBICA_ATV_1_t2_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATV_1/BraTS19_CBICA_ATV_1_t1ce.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATV_1/BraTS19_CBICA_ATV_1_t1ce_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATV_1/BraTS19_CBICA_ATV_1_flair.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATV_1/BraTS19_CBICA_ATV_1_flair_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATV_1/BraTS19_CBICA_ATV_1_seg.nii.gz
/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AUR_1/BraTS19_CBICA_AUR_1_t1.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AUR_1/BraTS19_CBICA_AUR_1_t1_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AUR_1/BraTS19_CBICA_AUR_1_t2.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AUR_1/BraTS19_CBICA_AUR_1_t2_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AUR_1/BraTS19_CBICA_AUR_1_t1ce.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AUR_1/BraTS19_CBICA_AUR_1_t1ce_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AUR_1/BraTS19_CBICA_AUR_1_flair.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AUR_1/BraTS19_CBICA_AUR_1_flair_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_AUR_1/BraTS19_CBICA_AUR_1_seg.nii.gz
/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_175_1/BraTS19_TCIA10_175_1_t1.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_175_1/BraTS19_TCIA10_175_1_t1_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_175_1/BraTS19_TCIA10_175_1_t2.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_175_1/BraTS19_TCIA10_175_1_t2_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_175_1/BraTS19_TCIA10_175_1_t1ce.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_175_1/BraTS19_TCIA10_175_1_t1ce_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_175_1/BraTS19_TCIA10_175_1_flair.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_175_1/BraTS19_TCIA10_175_1_flair_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_175_1/BraTS19_TCIA10_175_1_seg.nii.gz
/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ASR_1/BraTS19_CBICA_ASR_1_t1.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ASR_1/BraTS19_CBICA_ASR_1_t1_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ASR_1/BraTS19_CBICA_ASR_1_t2.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ASR_1/BraTS19_CBICA_ASR_1_t2_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ASR_1/BraTS19_CBICA_ASR_1_t1ce.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ASR_1/BraTS19_CBICA_ASR_1_t1ce_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ASR_1/BraTS19_CBICA_ASR_1_flair.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ASR_1/BraTS19_CBICA_ASR_1_flair_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ASR_1/BraTS19_CBICA_ASR_1_seg.nii.gz
/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATD_1/BraTS19_CBICA_ATD_1_t1.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATD_1/BraTS19_CBICA_ATD_1_t1_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATD_1/BraTS19_CBICA_ATD_1_t2.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATD_1/BraTS19_CBICA_ATD_1_t2_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATD_1/BraTS19_CBICA_ATD_1_t1ce.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATD_1/BraTS19_CBICA_ATD_1_t1ce_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATD_1/BraTS19_CBICA_ATD_1_flair.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATD_1/BraTS19_CBICA_ATD_1_flair_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_CBICA_ATD_1/BraTS19_CBICA_ATD_1_seg.nii.gz
/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_241_1/BraTS19_TCIA10_241_1_t1.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_241_1/BraTS19_TCIA10_241_1_t1_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_241_1/BraTS19_TCIA10_241_1_t2.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_241_1/BraTS19_TCIA10_241_1_t2_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_241_1/BraTS19_TCIA10_241_1_t1ce.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_241_1/BraTS19_TCIA10_241_1_t1ce_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_241_1/BraTS19_TCIA10_241_1_flair.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_241_1/BraTS19_TCIA10_241_1_flair_bfc.nii.gz,/cbica/home/bhaleram/comp_space/brats/data1/train/BraTS19_TCIA10_241_1/BraTS19_TCIA10_241_1_seg.nii.gz
